Database;species;species_tpl;plant.duration;Germination_p;Height_cm;LDMC_mg.g;LeafN.mass_mg.g;Root.diameter_mm;RootN.mass_mg.g;RS.ratio;Seed.mass_mg;SLA_mm2.mg;SRL_m.g;RMF_g.g;Root.depth_cm;Root.tissue.density_g.cm3
Groot;Elymus multisetus;Elymus multisetus;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;32.07565216;0.364881758;NA;NA
Groot;Eragrostis pilosa;Eragrostis pilosa;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.72;NA;NA
Groot;Festuca oelandica;Festuca oelandica;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.310820124;NA;NA
Groot;Leymus mollis;Leymus mollis;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.335;NA;NA
Groot;Lolium temulentum;Lolium temulentum;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.27;NA;NA
Groot;Muhlenbergia racemosa;Muhlenbergia racemosa;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;71.52399084;0.181260127;8.075;NA
Groot;Nassella pulchra;Nassella pulchra;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;128.3020232;0.321808615;NA;NA
Groot;Oryzopsis hymenoides;Oryzopsis hymenoides;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;12.01;0.275;125;0.269
Groot;Panicum antidotale;Panicum antidotale;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.22;NA;NA
Groot;Panicum dichotomiflorum;Panicum dichotomiflorum;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.195;NA;NA
Groot;Panicum miliaceum;Panicum miliaceum;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.45;NA;NA
Groot;Paspalum conjugatum;Paspalum conjugatum;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.055;NA;NA
Groot;Pennisetum setaceum;Pennisetum setaceum;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.25;NA;NA
Groot;Pennisetum violaceum;Pennisetum violaceum;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.606666667;NA;NA
Groot;Pharus latifolius;Pharus latifolius;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.215;NA;NA
Groot;Rottboellia cochinchinensis;Rottboellia cochinchinensis;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.15;NA;NA
Groot;Saccharum officinarum;Saccharum officinarum;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.315;NA;NA
Groot;Setaria faberi;Setaria faberi;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;4.521778399;0.180833333;14.4286508;NA
Groot;Setaria viridis;Setaria viridis;annual;NA;NA;NA;NA;NA;4.293333333;NA;NA;NA;39.28666667;0.331666667;NA;NA
Groot;Sorghum arundinaceum;Sorghum arundinaceum;1|2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.713333333;NA;NA
Groot;Spartina pectinata;Spartina pectinata;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.374;159;NA
Groot;Sporobolus cryptandrus;Sporobolus cryptandrus;perennial;NA;NA;NA;NA;NA;27.8335825;NA;NA;NA;22.63833333;0.324;66.94;0.476
Groot;Steinchisma laxum;Steinchisma laxum;1|2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.3225;NA;NA
Groot;Taeniatherum caput-medusae;Taeniatherum caput-medusae;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.403333333;NA;NA
Groot;Tragus racemosus;Tragus racemosus;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.12;NA;NA
Groot;Tridens flavus;Tridens flavus;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.45;NA;NA
Groot;Ventenata dubia;Ventenata dubia;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;0.346666667;NA;NA
Groot;Vulpia microstachys;Vulpia microstachys;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;496.2265033;0.048507914;NA;NA
Groot;Bromus briziformis;Bromus briziformis;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;150;NA
Groot;Bromus japonicus;Bromus japonicus;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;150;NA
Groot;Bromus racemosus;Bromus racemosus;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;150;NA
Groot;Colpodium ponticum;Colpodium ponticum;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;78.81000004;NA;NA;NA
Groot;Eragrostis minor;Eragrostis minor;annual;NA;NA;NA;NA;NA;5.94;NA;NA;NA;27.92;NA;NA;NA
Groot;Eustachys retusa;Eustachys retusa;perennial;NA;NA;NA;NA;NA;3.8;NA;NA;NA;29.25;NA;NA;0.159
Groot;Muhlenbergia peruviana;Muhlenbergia peruviana;annual;NA;NA;NA;NA;NA;10.9;NA;NA;NA;197.79;NA;NA;0.044
Groot;Puccinellia tenuissima;Puccinellia tenuissima;perennial;NA;NA;NA;NA;NA;15;NA;NA;NA;NA;NA;NA;NA
Groot;Schismus arabicus;Schismus arabicus;annual;NA;NA;NA;NA;NA;4.05;NA;NA;NA;NA;NA;NA;NA
Groot;Stipa bungeana;Stipa bungeana;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;58.8625;NA;NA;NA
Groot;Stipagrostis pennata;Stipagrostis pennata;perennial;NA;NA;NA;NA;NA;7.6;NA;NA;NA;12.57;NA;NA;NA
Groot;Vulpia myuros;Vulpia myuros;annual;NA;NA;NA;NA;NA;7.5;NA;NA;NA;268.91;NA;NA;0.044
Groot;Aeluropus littoralis;Aeluropus littoralis;perennial;NA;NA;NA;NA;NA;3.9;NA;NA;NA;NA;NA;NA;NA
Groot;Stipa pennata;Stipa pennata;perennial;NA;NA;NA;NA;NA;10.6;NA;NA;NA;NA;NA;NA;NA
Groot;Agropyron mongolicum;Agropyron mongolicum;perennial;NA;NA;NA;NA;NA;8.32;NA;NA;NA;15.82;NA;NA;NA
Groot;Chionochloa macra;Chionochloa macra;perennial;NA;NA;NA;NA;NA;4.54545;NA;NA;NA;NA;NA;NA;NA
Groot;Cleistogenes songorica;Cleistogenes songorica;perennial;NA;NA;NA;NA;NA;4.46;NA;NA;NA;44.79625;NA;NA;NA
Groot;Digitaria eriantha;Digitaria eriantha;perennial;NA;NA;NA;NA;NA;3.63;NA;NA;NA;NA;NA;NA;NA
Groot;Festuca altaica;Festuca altaica;perennial;NA;NA;NA;NA;NA;12.5;NA;NA;NA;NA;NA;84;NA
Groot;Festuca brachyphylla;Festuca brachyphylla;perennial;NA;NA;NA;NA;NA;10;NA;NA;NA;NA;NA;NA;NA
Groot;Helictotrichon cantabricum;Helictotrichon cantabricum;perennial;NA;NA;NA;NA;NA;7.4;NA;NA;NA;NA;NA;NA;NA
Groot;Poa sinaica;Poa sinaica;perennial;NA;NA;NA;NA;NA;11.6;NA;NA;NA;NA;NA;NA;NA
Groot;Sesleria albicans;Sesleria albicans;perennial;NA;NA;NA;NA;NA;9.5;NA;NA;NA;NA;NA;NA;NA
Groot;Sesleria argentea;Sesleria argentea;perennial;NA;NA;NA;NA;NA;9.86;NA;NA;NA;NA;NA;NA;NA
Groot;Stipa tianschanica;Stipa tianschanica;perennial;NA;NA;NA;NA;NA;8.25;NA;NA;NA;23.9775;NA;NA;NA
Groot;Schizachyrium condensatum;Schizachyrium condensatum;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;137.2633333;NA
Groot;Bromus porteri;Bromus porteri;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;17.744;NA;NA;0.2552
Groot;Agrostis hallii;Agrostis hallii;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;70;NA
Groot;Arctagrostis latifolia;Arctagrostis latifolia;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;30;NA
Groot;Aristida ternipes;Aristida ternipes;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;NA
Groot;Arundinaria faberi;Arundinaria faberi;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;100;NA
Groot;Bromus cebadilla;Bromus cebadilla;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;114;NA
Groot;Calamagrostis purpurascens;Calamagrostis purpurascens;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;81.28;NA
Groot;Cenchrus biflorus;Cenchrus biflorus;annual;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;101.6;NA
Groot;Eragrostis lehmanniana;Eragrostis lehmanniana;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;120;NA
Groot;Festuca idahoensis;Festuca idahoensis;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;NA
Groot;Hilaria mutica;Hilaria mutica;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;72.5;NA
Groot;Hilaria rigida;Hilaria rigida;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;40;NA
Groot;Imperata cylindrica;Imperata cylindrica;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;180;NA
Groot;Isachne globosa;Isachne globosa;1|2;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;NA
Groot;Leymus cinereus;Leymus cinereus;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;125;NA
Groot;Leymus triticoides;Leymus triticoides;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;116.84;NA
Groot;Miscanthus sinensis;Miscanthus sinensis;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;25;NA
Groot;Muhlenbergia arenacea;Muhlenbergia arenacea;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;125;NA
Groot;Muhlenbergia porteri;Muhlenbergia porteri;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;65;NA
Groot;Muhlenbergia pungens;Muhlenbergia pungens;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;83.82;NA
Groot;Muhlenbergia torreyi;Muhlenbergia torreyi;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;139.7;NA
Groot;Oldeania alpina;Oldeania alpina;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;396.24;NA
Groot;Pennisetum clandestinum;Pennisetum clandestinum;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;164;NA
Groot;Piptochaetium napostaense;Piptochaetium napostaense;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;60;NA
Groot;Poa arctica;Poa arctica;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;15;NA
Groot;Redfieldia flexuosa;Redfieldia flexuosa;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;142.24;NA
Groot;Saccharum ravennae;Saccharum ravennae;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;125;NA
Groot;Saccharum spontaneum;Saccharum spontaneum;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;150;NA
Groot;Scleropogon brevifolius;Scleropogon brevifolius;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;103;NA
Groot;Sporobolus compositus;Sporobolus compositus;perennial;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;NA;101.6;NA
